Žurnāls: ppo_trader_Realistic Mode, OP - 0.004 (Conservative)_LTC.log

Ierīce: cpu  |  AMP: False
Eksperiments: OP - 0.004 (Conservative)

============================================================
1. SOLIS: Datu ielāde
============================================================
Visa datu kopa : 772,457 sveces  |  2019-01-05 05:00:00 → 2026-05-13 05:00:00
Izmantojam     : 331,053 sveces  |  2023-03-20 15:55:00 → 2026-05-13 05:00:00
Apmācība (~2g) : 0..220,702  (2023-03-20 15:55:00 → 2025-04-25 01:05:00)
Tests  (~1g)   : 220,702..331,053  (2025-04-25 01:10:00 → 2026-05-13 05:00:00)
Pazīmes (tirgus): 32
N_STATE_FEATURES=34

Slipāžas rindu priekšaprēķins...

============================================================
7. SOLIS: Modelis
============================================================
Parametri: 62,853  |  INPUT_DIM=34
Arhitektūra: D_MODEL=64, N_HEADS=2, N_LAYERS=1, SEQ_LEN=32

============================================================
10. SOLIS: Apmācība (PPO)
============================================================
Kopējie soļi: 75,000  |  N_ENVS: 4  |  ROLLOUT_STEPS: 128
Bufera izmērs vienam atjauninājumam: 512 pārejas
PPO epohi: 2  |  Mini-pakete: 128
Labvēlības periods: 12 sveces  |  Atvēršanas sods: 0.004  |  Min darījums: 72 sveces  |  Īsa darījuma sods: 0.004
Kontrolpunkti: checkpoints_Realistic Mode, OP - 0.004 (Conservative)_LTC/  (ik pēc 29 atjauninājumiem)

────────────────────────────────────────────────────────────────────────────────
     Solis   Upd  Rew(avg10)       pi       v    ent   clip%      ev        lr  Darbības(H/L/S/C)
    48,640    95    -0.00112  -0.0007  0.0012  0.949↓    0.0%  -0.822  8.23e-05  56.1%/36.1%/ 1.8%/ 6.1%
    49,152    96    -0.00174  -0.0003  0.0520  0.953↓    0.1%  +0.054  7.95e-05  52.9%/39.1%/ 3.3%/ 4.7%
    49,664    97    -0.00197  +0.0000  0.0047  0.984↓    0.4%  -0.073  7.67e-05  52.1%/36.7%/ 5.5%/ 5.7%
    50,176    98    -0.00188  -0.0007  0.0019  0.948↓    0.0%  +0.044  7.39e-05  57.2%/34.4%/ 2.7%/ 5.7%
    50,688    99    -0.00177  -0.0001  0.0023  0.961↓    0.1%  +0.484  7.12e-05  53.5%/37.1%/ 2.7%/ 6.6%
    51,200   100    -0.00193  +0.0007  0.0041  0.973↓    0.3%  +0.138  6.84e-05  52.7%/37.5%/ 3.5%/ 6.2%
    51,712   101    -0.00197  +0.0004  0.0020  0.956↓    0.3%  -0.115  6.58e-05  53.1%/37.3%/ 3.5%/ 6.1%
    52,224   102    -0.00191  +0.0005  0.0013  0.969↓    0.0%  +0.318  6.31e-05  48.6%/43.9%/ 2.3%/ 5.1%
    52,736   103    -0.00179  -0.0003  0.0026  0.976↓    0.5%  +0.293  6.06e-05  49.8%/41.6%/ 3.7%/ 4.9%
    53,248   104    -0.00173  +0.0002  0.0046  0.989↓    0.3%  +0.030  5.80e-05  53.3%/36.9%/ 4.1%/ 5.7%
    53,760   105    -0.00186  -0.0007  0.0037  0.976↓    0.3%  +0.413  5.55e-05  52.7%/39.1%/ 3.3%/ 4.9%
    54,272   106    -0.00113  +0.0007  0.0037  0.977↓    0.4%  +0.148  5.30e-05  54.9%/36.3%/ 4.1%/ 4.7%
    54,784   107    -0.00093  -0.0017  0.0047  0.967↓    0.0%  +0.479  5.06e-05  51.0%/37.3%/ 3.9%/ 7.8%
    55,296   108    -0.00123  -0.0013  0.0048  0.978↓    0.3%  +0.583  4.83e-05  50.0%/37.5%/ 4.5%/ 8.0%
    55,808   109    -0.00131  -0.0000  0.0032  0.945↓    0.1%  -0.448  4.59e-05  56.4%/35.4%/ 1.8%/ 6.4%
    56,320   110    -0.00135  -0.0003  0.0018  0.953↓    0.3%  +0.094  4.37e-05  52.5%/39.8%/ 2.0%/ 5.7%
    56,832   111    -0.00137  +0.0004  0.0018  0.944↓    0.6%  +0.181  4.14e-05  55.5%/34.6%/ 3.5%/ 6.4%
    57,344   112    -0.00152  -0.0022  0.0041  0.962↓    0.5%  -0.138  3.93e-05  50.4%/39.1%/ 4.1%/ 6.4%
    57,856   113    -0.00147  -0.0014  0.0025  0.956↓    0.7%  -0.854  3.71e-05  49.4%/39.5%/ 4.7%/ 6.4%
    58,368   114    -0.00162  +0.0003  0.0024  0.949↓    0.0%  -0.031  3.51e-05  55.5%/38.1%/ 2.3%/ 4.1%
    58,880   115    -0.00160  -0.0014  0.0014  0.964↓    0.1%  +0.020  3.30e-05  54.7%/38.1%/ 3.9%/ 3.3%
    59,392   116    -0.00170  -0.0001  0.0020  0.953↓    0.0%  +0.061  3.11e-05  54.9%/38.7%/ 3.1%/ 3.3%
  ✓ Kontrolpunkts: checkpoints_Realistic Mode, OP - 0.004 (Conservative)_LTC\ckpt_step0059392.pth  [79% apmācības]
    59,904   117    -0.00166  +0.0021  0.0015  0.958↓    0.3%  +0.064  2.92e-05  52.9%/37.7%/ 3.1%/ 6.2%
    60,416   118    -0.00132  -0.0012  0.0016  0.962↓    0.3%  -0.082  2.73e-05  50.0%/39.3%/ 3.3%/ 7.4%
    60,928   119    -0.00132  -0.0005  0.0012  0.953↓    0.5%  +0.133  2.55e-05  51.6%/40.0%/ 2.9%/ 5.5%
    61,440   120    -0.00119  -0.0022  0.0018  0.956↓    0.1%  -0.280  2.38e-05  51.6%/38.5%/ 4.3%/ 5.7%
    61,952   121    -0.00103  -0.0018  0.0014  0.960↓    0.3%  -0.016  2.21e-05  53.1%/36.5%/ 5.1%/ 5.3%
    62,464   122    -0.00082  -0.0012  0.0020  0.971↓    0.0%  -0.596  2.05e-05  50.2%/42.6%/ 3.9%/ 3.3%
    62,976   123    -0.00089  -0.0019  0.0021  0.970↓    0.2%  +0.427  1.89e-05  54.7%/35.2%/ 5.1%/ 5.1%
    63,488   124    -0.00080  +0.0034  0.0026  0.959↓    0.3%  +0.178  1.74e-05  53.9%/38.1%/ 2.9%/ 5.1%
    64,000   125    -0.00074  +0.0010  0.0016  0.956↓    0.0%  +0.406  1.60e-05  53.9%/38.5%/ 2.3%/ 5.3%
    64,512   126    -0.00077  +0.0008  0.0015  0.948↓    0.1%  +0.128  1.46e-05  50.6%/41.4%/ 1.8%/ 6.2%
    65,024   127    -0.00081  +0.0013  0.0016  0.955↓    0.5%  -0.270  1.33e-05  52.9%/36.7%/ 4.1%/ 6.2%
    65,536   128    -0.00090  -0.0005  0.0026  0.965↓    0.3%  +0.183  1.21e-05  52.7%/37.5%/ 3.5%/ 6.2%
    66,048   129    -0.00104  +0.0012  0.0023  0.977↓    0.0%  +0.037  1.09e-05  53.5%/36.7%/ 4.9%/ 4.9%
    66,560   130    -0.00129  -0.0000  0.0039  0.960↓    0.0%  +0.003  9.77e-06  53.9%/40.0%/ 2.5%/ 3.5%
    67,072   131    -0.00136  -0.0006  0.0029  0.970↓    0.4%  +0.032  8.72e-06  52.5%/35.5%/ 5.5%/ 6.4%
    67,584   132    -0.00150  +0.0009  0.0026  0.953↓    0.0%  +0.099  7.73e-06  49.4%/39.8%/ 4.3%/ 6.4%
    68,096   133    -0.00155  -0.0000  0.0013  0.960↓    0.6%  +0.351  6.81e-06  50.6%/39.3%/ 3.3%/ 6.8%
    68,608   134    -0.00137  +0.0007  0.0039  0.949↓    0.0%  -0.339  5.96e-06  57.0%/36.3%/ 2.9%/ 3.7%
    69,120   135    -0.00135  +0.0008  0.0032  0.962↓    0.3%  +0.179  5.17e-06  50.4%/40.0%/ 3.7%/ 5.9%
    69,632   136    -0.00131  +0.0015  0.0024  0.952↓    0.3%  +0.147  4.45e-06  51.4%/39.3%/ 2.9%/ 6.4%
    70,144   137    -0.00130  +0.0005  0.0014  0.949↓    0.0%  -0.318  3.79e-06  53.7%/39.8%/ 1.8%/ 4.7%
    70,656   138    -0.00140  -0.0001  0.0047  0.956↓    0.2%  +0.074  3.21e-06  51.0%/40.6%/ 2.1%/ 6.2%
    71,168   139    -0.00139  -0.0007  0.0014  0.952↓    0.3%  +0.283  2.69e-06  52.9%/39.1%/ 2.3%/ 5.7%
    71,680   140    -0.00133  -0.0008  0.0031  0.961↓    0.8%  +0.081  2.24e-06  49.8%/39.8%/ 3.9%/ 6.4%
    72,192   141    -0.00133  -0.0004  0.0020  0.947↓    0.0%  -0.122  1.86e-06  48.6%/43.6%/ 2.7%/ 5.1%
    72,704   142    -0.00129  -0.0027  0.0027  0.961↓    0.3%  +0.001  1.55e-06  53.3%/39.1%/ 3.1%/ 4.5%
    73,216   143    -0.00130  -0.0006  0.0010  0.940↓    0.2%  -0.630  1.31e-06  54.3%/36.9%/ 2.3%/ 6.4%
    73,728   144    -0.00154  +0.0018  0.0034  0.966↓    0.3%  +0.058  1.14e-06  50.8%/40.2%/ 4.3%/ 4.7%
    74,240   145    -0.00161  +0.0002  0.0012  0.952↓    0.0%  -0.067  1.03e-06  54.9%/37.3%/ 3.1%/ 4.7%
  ✓ Kontrolpunkts: checkpoints_Realistic Mode, OP - 0.004 (Conservative)_LTC\ckpt_step0074240.pth  [99% apmācības]
    74,752   146    -0.00149  +0.0005  0.0025  0.959↓    0.0%  +0.128  1.00e-06  49.6%/44.7%/ 2.7%/ 2.9%
    75,264   147    -0.00147  -0.0014  0.0009  0.972↓    0.5%  -0.852  1.03e-06  55.7%/35.5%/ 4.7%/ 4.1%
  ✓ Kontrolpunkts: checkpoints_Realistic Mode, OP - 0.004 (Conservative)_LTC\ckpt_step0075264.pth  [100% apmācības]

────────────────────────────────────────────────────────────────────────────────
  Vidējais ātrums: 593 soļi/sek
  Vidējā atlīdzība (pēdējie 10 atjauninājumi): -0.00147
  Galīgā entropija: 0.972  (sākums: 1.299)
────────────────────────────────────────────────────────────────────────────────

✓ Galīgais modelis saglabāts: ppo_trader_Realistic Mode, OP - 0.004 (Conservative)_LTC.pth

============================================================
11. SOLIS: Bektests (4 varianti)
============================================================

────────────────────────────────────────────────────────────  1. Komisija + slipāža          
