Žurnāls: ppo_trader_Clean Baseline_DOGE.log

Ierīce: cpu  |  AMP: False
Eksperiments: Clean Baseline

============================================================
1. SOLIS: Datu ielāde
============================================================
Visa datu kopa : 719,235 sveces  |  2019-07-09 17:00:00 → 2026-05-13 04:55:00
Izmantojam     : 308,244 sveces  |  2023-06-07 22:00:00 → 2026-05-13 04:55:00
Apmācība (~2g) : 0..205,496  (2023-06-07 22:00:00 → 2025-05-21 10:35:00)
Tests  (~1g)   : 205,496..308,244  (2025-05-21 10:40:00 → 2026-05-13 04:55:00)
Pazīmes (tirgus): 32
N_STATE_FEATURES=34

Slipāžas rindu priekšaprēķins...

============================================================
7. SOLIS: Modelis
============================================================
Parametri: 62,853  |  INPUT_DIM=34
Arhitektūra: D_MODEL=64, N_HEADS=2, N_LAYERS=1, SEQ_LEN=32

============================================================
10. SOLIS: Apmācība (PPO)
============================================================
Kopējie soļi: 75,000  |  N_ENVS: 4  |  ROLLOUT_STEPS: 128
Bufera izmērs vienam atjauninājumam: 512 pārejas
PPO epohi: 2  |  Mini-pakete: 128
Režīms: Clean Baseline  —  visi reward shaping sodi atslēgti
Apmācība: tīrs PnL signāls (log-atgriešanās), bez OPEN_PENALTY, SHORT_TRADE_PEN, HOLD_PENALTY
Kontrolpunkti: checkpoints_Clean Baseline_DOGE/  (ik pēc 29 atjauninājumiem)

────────────────────────────────────────────────────────────────────────────────
     Solis   Upd  Rew(avg10)       pi       v    ent   clip%      ev        lr  Darbības(H/L/S/C)
    31,744    62    -0.00177  -0.0009  0.0014  1.276↓    0.0%  -1.317  1.86e-04  31.6%/21.7%/28.5%/18.2%
    32,256    63    -0.00178  +0.0001  0.0021  1.296↓    0.0%  +0.125  1.82e-04  27.9%/25.4%/28.1%/18.6%
    32,768    64    -0.00165  -0.0019  0.0015  1.285↓    0.0%  +0.560  1.79e-04  30.1%/24.8%/26.4%/18.8%
    33,280    65    -0.00162  -0.0009  0.0024  1.291↓    0.0%  -0.186  1.76e-04  31.1%/25.4%/26.8%/16.8%
    33,792    66    -0.00156  -0.0013  0.0030  1.283↓    0.0%  +0.222  1.73e-04  28.1%/25.0%/27.5%/19.3%
    34,304    67    -0.00150  -0.0004  0.0016  1.271↓    0.0%  +0.257  1.70e-04  29.7%/22.9%/25.8%/21.7%
    34,816    68    -0.00143  -0.0002  0.0019  1.298↓    0.0%  +0.427  1.67e-04  26.8%/25.4%/29.3%/18.6%
    35,328    69    -0.00140  -0.0000  0.0012  1.286↓    0.0%  +0.538  1.63e-04  33.4%/21.5%/27.3%/17.8%
    35,840    70    -0.00135  +0.0005  0.0021  1.289↓    0.0%  -0.118  1.60e-04  25.4%/25.2%/29.5%/19.9%
    36,352    71    -0.00130  +0.0003  0.0014  1.303↓    0.0%  +0.344  1.57e-04  31.2%/30.1%/23.0%/15.6%
    36,864    72    -0.00134  -0.0028  0.0015  1.294↓    0.0%  -0.502  1.54e-04  24.6%/28.5%/28.3%/18.6%
    37,376    73    -0.00134  -0.0006  0.0018  1.278↓    0.0%  +0.374  1.50e-04  28.5%/23.0%/30.1%/18.4%
    37,888    74    -0.00132  +0.0002  0.0017  1.285↓    0.0%  -0.051  1.47e-04  30.1%/26.8%/24.4%/18.8%
    38,400    75    -0.00120  -0.0006  0.0014  1.286↓    0.0%  -0.238  1.44e-04  29.1%/22.1%/30.9%/18.0%
    38,912    76    -0.00110  -0.0004  0.0014  1.273↓    0.0%  -1.316  1.41e-04  29.5%/24.8%/25.0%/20.7%
    39,424    77    -0.00116  -0.0019  0.0017  1.290↓    0.0%  -0.284  1.38e-04  26.6%/25.0%/29.3%/19.1%
    39,936    78    -0.00109  -0.0003  0.0018  1.282↓    0.0%  -0.409  1.34e-04  27.9%/26.2%/27.1%/18.8%
    40,448    79    -0.00105  -0.0016  0.0014  1.303↓    0.0%  -0.127  1.31e-04  24.8%/28.5%/28.1%/18.6%
    40,960    80    -0.00113  -0.0001  0.0018  1.287↓    0.0%  +0.203  1.28e-04  28.9%/23.4%/28.1%/19.5%
    41,472    81    -0.00119  -0.0009  0.0013  1.291↓    0.0%  +0.229  1.25e-04  27.5%/27.7%/25.8%/18.9%
    41,984    82    -0.00115  -0.0005  0.0015  1.271↓    0.0%  +0.528  1.22e-04  33.8%/18.8%/28.5%/18.9%
    42,496    83    -0.00110  -0.0004  0.0012  1.274↓    0.0%  +0.684  1.19e-04  28.9%/25.6%/24.4%/21.1%
    43,008    84    -0.00105  -0.0002  0.0013  1.289↓    0.0%  +0.598  1.15e-04  27.7%/26.6%/26.8%/18.9%
    43,520    85    -0.00108  -0.0015  0.0010  1.283↓    0.0%  +0.583  1.12e-04  31.2%/28.9%/21.9%/18.0%
    44,032    86    -0.00111  -0.0004  0.0012  1.272↓    0.0%  +0.672  1.09e-04  32.4%/23.6%/23.2%/20.7%
    44,544    87    -0.00102  -0.0007  0.0010  1.269↓    0.0%  +0.390  1.06e-04  30.9%/23.8%/26.2%/19.1%
  ✓ Kontrolpunkts: checkpoints_Clean Baseline_DOGE\ckpt_step0044544.pth  [59% apmācības]
    45,056    88    -0.00098  +0.0001  0.0011  1.285↓    0.0%  +0.622  1.03e-04  28.9%/26.0%/25.6%/19.5%
    45,568    89    -0.00094  -0.0006  0.0013  1.259↓    0.0%  +0.478  1.00e-04  33.2%/21.9%/24.2%/20.7%
    46,080    90    -0.00088  +0.0011  0.0009  1.279↓    0.0%  +0.656  9.70e-05  30.3%/25.4%/24.6%/19.7%
    46,592    91    -0.00081  +0.0009  0.0008  1.264↓    0.0%  +0.522  9.40e-05  35.0%/20.7%/25.0%/19.3%
    47,104    92    -0.00080  -0.0004  0.0007  1.269↓    0.0%  +0.623  9.11e-05  30.9%/23.8%/25.6%/19.7%
    47,616    93    -0.00075  +0.0004  0.0009  1.259↓    0.0%  +0.767  8.81e-05  29.1%/19.5%/30.1%/21.3%
    48,128    94    -0.00070  -0.0003  0.0010  1.260↓    0.0%  +0.676  8.52e-05  30.9%/23.2%/25.2%/20.7%
    48,640    95    -0.00066  +0.0001  0.0009  1.270↓    0.0%  +0.758  8.23e-05  28.3%/25.2%/25.4%/21.1%
    49,152    96    -0.00065  +0.0008  0.0009  1.263↓    0.0%  +0.733  7.95e-05  32.2%/26.4%/21.7%/19.7%
    49,664    97    -0.00068  -0.0004  0.0015  1.284↓    0.0%  +0.740  7.67e-05  30.3%/24.2%/25.8%/19.7%
    50,176    98    -0.00079  -0.0008  0.0021  1.257↓    0.0%  +0.731  7.39e-05  31.6%/27.0%/21.3%/20.1%
    50,688    99    -0.00093  -0.0001  0.0014  1.296↓    0.0%  +0.876  7.12e-05  23.4%/27.1%/30.3%/19.1%
    51,200   100    -0.00104  +0.0004  0.0018  1.283↓    0.0%  +0.869  6.84e-05  28.1%/25.0%/27.7%/19.1%
    51,712   101    -0.00108  -0.0014  0.0013  1.272↓    0.0%  +0.854  6.58e-05  30.9%/22.7%/26.6%/19.9%
    52,224   102    -0.00114  -0.0004  0.0020  1.290↓    0.0%  +0.735  6.31e-05  26.2%/28.3%/26.4%/19.1%
    52,736   103    -0.00134  -0.0000  0.0016  1.292↓    0.0%  +0.820  6.06e-05  29.5%/29.3%/23.0%/18.2%
