Žurnāls: ppo_trader_Clean Baseline_XRP.log

Ierīce: cpu  |  AMP: False
Eksperiments: Clean Baseline

============================================================
1. SOLIS: Datu ielāde
============================================================
Visa datu kopa : 772,455 sveces  |  2019-01-05 05:00:00 → 2026-05-13 04:50:00
Izmantojam     : 331,053 sveces  |  2023-03-20 15:45:00 → 2026-05-13 04:50:00
Apmācība (~2g) : 0..220,702  (2023-03-20 15:45:00 → 2025-04-25 00:55:00)
Tests  (~1g)   : 220,702..331,053  (2025-04-25 01:00:00 → 2026-05-13 04:50:00)
Pazīmes (tirgus): 32
N_STATE_FEATURES=34

Slipāžas rindu priekšaprēķins...

============================================================
7. SOLIS: Modelis
============================================================
Parametri: 62,853  |  INPUT_DIM=34
Arhitektūra: D_MODEL=64, N_HEADS=2, N_LAYERS=1, SEQ_LEN=32

============================================================
10. SOLIS: Apmācība (PPO)
============================================================
Kopējie soļi: 75,000  |  N_ENVS: 4  |  ROLLOUT_STEPS: 128
Bufera izmērs vienam atjauninājumam: 512 pārejas
PPO epohi: 2  |  Mini-pakete: 128
Režīms: Clean Baseline  —  visi reward shaping sodi atslēgti
Apmācība: tīrs PnL signāls (log-atgriešanās), bez OPEN_PENALTY, SHORT_TRADE_PEN, HOLD_PENALTY
Kontrolpunkti: checkpoints_Clean Baseline_XRP/  (ik pēc 29 atjauninājumiem)

────────────────────────────────────────────────────────────────────────────────
     Solis   Upd  Rew(avg10)       pi       v    ent   clip%      ev        lr  Darbības(H/L/S/C)
    75,264   147    -0.00032  -0.0023  0.0005  1.280↓    0.0%  -3.077  1.03e-06  36.3%/19.7%/28.1%/15.8%
  ✓ Kontrolpunkts: checkpoints_Clean Baseline_XRP\ckpt_step0075264.pth  [100% apmācības]

────────────────────────────────────────────────────────────────────────────────
  Vidējais ātrums: 591 soļi/sek
  Vidējā atlīdzība (pēdējie 10 atjauninājumi): -0.00032
  Galīgā entropija: 1.280  (sākums: 1.299)
────────────────────────────────────────────────────────────────────────────────

✓ Galīgais modelis saglabāts: ppo_trader_Clean Baseline_XRP.pth

============================================================
11. SOLIS: Bektests (4 varianti)
============================================================

────────────────────────────────────────────────────────────  1. Komisija + slipāža          
  Bilance: $0.01 | Ienesīgums: -100.00% | MaxDD: 100.00% | Sharpe: -9.486 | Calmar: -1.000 | PF: 0.370 | Darījumi: 1942 | Win%: 26.1%

────────────────────────────────────────────────────────────  2. Tikai komisija              
  Bilance: $57.02 | Ienesīgums: -94.30% | MaxDD: 94.53% | Sharpe: -2.076 | Calmar: -0.998 | PF: 0.763 | Darījumi: 1944 | Win%: 36.1%

────────────────────────────────────────────────────────────  3. Tikai slipāža              
  Bilance: $0.02 | Ienesīgums: -100.00% | MaxDD: 100.00% | Sharpe: -8.646 | Calmar: -1.000 | PF: 0.404 | Darījumi: 1942 | Win%: 27.4%

────────────────────────────────────────────────────────────  4. Bez izmaksām               
  Bilance: $270.30 | Ienesīgums: -72.97% | MaxDD: 81.11% | Sharpe: -1.152 | Calmar: -0.900 | PF: 0.848 | Darījumi: 1944 | Win%: 38.1%


======================================================================
12. SOLIS: Rezultāti
======================================================================

  Metrika                     1. Komisija + slipāža            2. Tikai komisija                3. Tikai slipāža                4. Bez izmaksām               
